,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type," Distance ("")",
, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string, float,
,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type,distance,
,TESS,SPOC,Photometer,TESS,TESS,Optical,TESS FFI,,tess-s0019-1-4,83.6582214424111,35.2096087820136,3,58815.58822172,1425.599402,58875,,0,
,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC3,Infrared,NGC2099,,1222700,88.076458,32.553,3,54194.97784543,26.8,54567.85753,,0,
,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC2,Infrared,NGC2099,,1222700,88.076458,32.553,3,54194.97784543,26.8,54567.85753,,0,
,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC4,Infrared,NGC2099,,1222700,88.076458,32.553,3,54194.97784543,26.8,54567.85753,,0,
,SPITZER_SHA,SSC Pipeline,IRAC,,IRAC1,Infrared,NGC2099,,1222700,88.076458,32.553,3,54194.97784543,26.8,54567.85753,,0,
,PS1,3PI,GPC1,PS1,g,OPTICAL,2028.018,,rings.v3.skycell.2028.018.stk.g,88.3318279044723,32.581262183788,3,55560.5024288,1081,57741.54167,3PI,0,
,PS1,3PI,GPC1,PS1,i,OPTICAL,2028.018,,rings.v3.skycell.2028.018.stk.i,88.3318279044723,32.581262183788,3,55547.4062311,900,57741.54167,3PI,0,
,PS1,3PI,GPC1,PS1,r,OPTICAL,2028.018,,rings.v3.skycell.2028.018.stk.r,88.3318279044723,32.581262183788,3,55173.4269383,1671,57741.54167,3PI,0,
,PS1,3PI,GPC1,PS1,y,OPTICAL,INFRARED,2028.018,,rings.v3.skycell.2028.018.stk.y,88.3318279044723,32.581262183788,3,55241.262797,770,57741.54167,3PI,0
,PS1,3PI,GPC1,PS1,z,OPTICAL,2028.018,,rings.v3.skycell.2028.018.stk.z,88.3318279044723,32.581262183788,3,55482.6324463,540,57741.54167,3PI,0,
,PS1,3PI,GPC1,PS1,g,OPTICAL,2028.019,,rings.v3.skycell.2028.019.stk.g,87.8556852749354,32.5740716573307,3,55560.5024288,866,57741.54167,3PI,0,
,PS1,3PI,GPC1,PS1,i,OPTICAL,2028.019,,rings.v3.skycell.2028.019.stk.i,87.8556852749354,32.5740716573307,3,55547.4062311,720,57741.54167,3PI,0,
,PS1,3PI,GPC1,PS1,r,OPTICAL,2028.019,,rings.v3.skycell.2028.019.stk.r,87.8556852749354,32.5740716573307,3,55173.4269383,1271,57741.54167,3PI,0,
,PS1,3PI,GPC1,PS1,y,OPTICAL,INFRARED,2028.019,,rings.v3.skycell.2028.019.stk.y,87.8556852749354,32.5740716573307,3,55241.262797,590,57741.54167,3PI,0
,PS1,3PI,GPC1,PS1,z,OPTICAL,2028.019,,rings.v3.skycell.2028.019.stk.z,87.8556852749354,32.5740716573307,3,55482.6324463,390,57741.54167,3PI,0,
,PS1,3PI,GPC1,PS1,g,OPTICAL,2028.008,,rings.v3.skycell.2028.008.stk.g,88.3395604987921,32.1793997782949,3,55560.5017823,1081,57741.54167,3PI,574.914813183051,
,PS1,3PI,GPC1,PS1,i,OPTICAL,2028.008,,rings.v3.skycell.2028.008.stk.i,88.3395604987921,32.1793997782949,3,55547.4062311,945,57741.54167,3PI,574.914813183051,
,PS1,3PI,GPC1,PS1,r,OPTICAL,2028.008,,rings.v3.skycell.2028.008.stk.r,88.3395604987921,32.1793997782949,3,55173.4286543,1231,57741.54167,3PI,574.914813183051,
,PS1,3PI,GPC1,PS1,y,OPTICAL,INFRARED,2028.008,,rings.v3.skycell.2028.008.stk.y,88.3395604987921,32.1793997782949,3,55241.2644041,740,57741.54167,3PI,574.914813183051
,PS1,3PI,GPC1,PS1,z,OPTICAL,2028.008,,rings.v3.skycell.2028.008.stk.z,88.3395604987921,32.1793997782949,3,55482.6324463,480,57741.54167,3PI,574.914813183051,
,PS1,3PI,GPC1,PS1,g,OPTICAL,2028.009,,rings.v3.skycell.2028.009.stk.g,87.8656206439883,32.1723227583803,3,55560.5024288,823,57741.54167,3PI,574.915929220522,
,PS1,3PI,GPC1,PS1,i,OPTICAL,2028.009,,rings.v3.skycell.2028.009.stk.i,87.8656206439883,32.1723227583803,3,55547.4062311,810,57741.54167,3PI,574.915929220522,
,PS1,3PI,GPC1,PS1,r,OPTICAL,2028.009,,rings.v3.skycell.2028.009.stk.r,87.8656206439883,32.1723227583803,3,55173.4269383,951,57741.54167,3PI,574.915929220522,
,PS1,3PI,GPC1,PS1,y,OPTICAL,INFRARED,2028.009,,rings.v3.skycell.2028.009.stk.y,87.8656206439883,32.1723227583803,3,55241.262797,700,57741.54167,3PI,574.915929220522
,PS1,3PI,GPC1,PS1,z,OPTICAL,2028.009,,rings.v3.skycell.2028.009.stk.z,87.8656206439883,32.1723227583803,3,55482.6324463,450,57741.54167,3PI,574.915929220522,
,HLSP,QLP,Photometer,TESS,TESS,Optical,308910819,,hlsp_qlp_tess_ffi_s0019-0000000308910819_tess_v01_llc,87.9640344068,32.7303638151,4,58815.59938382,1800,59181.05508,,719.837224552649,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910113,,hlsp_qlp_tess_ffi_s0019-0000000311910113_tess_v01_llc,88.0718613423,32.5759483459,4,58815.59938278,1800,59181.05508,,79.8550612355947,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910108,,hlsp_qlp_tess_ffi_s0019-0000000311910108_tess_v01_llc,88.0736826347,32.5768856339,4,58815.59938271,1800,59181.05508,,82.5149268849278,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910096,,hlsp_qlp_tess_ffi_s0019-0000000311910096_tess_v01_llc,88.0689226784,32.5794076954,4,58815.59938282,1800,59181.05508,,93.8131966170333,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910086,,hlsp_qlp_tess_ffi_s0019-0000000311910086_tess_v01_llc,88.0608971751,32.5812314863,4,58815.59938305,1800,59181.05508,,108.102888675785,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910245,,hlsp_qlp_tess_ffi_s0019-0000000311910245_tess_v01_llc,88.0784965785,32.5528100326,4,58815.59938292,1800,59181.05508,,2.32794556005225,
,HLSP,QLP,Photometer,TESS,TESS,Optical,723273164,,hlsp_qlp_tess_ffi_s0019-0000000723273164_tess_v01_llc,88.0811801483,32.5536007981,4,58815.59938282,1800,59181.64557,,10.559850658383,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910266,,hlsp_qlp_tess_ffi_s0019-0000000311910266_tess_v01_llc,88.0719186133,32.5490502683,4,58815.59938319,1800,59181.05508,,15.7364230532014,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910276,,hlsp_qlp_tess_ffi_s0019-0000000311910276_tess_v01_llc,88.0764352466,32.5474165519,4,58815.59938307,1800,59181.05508,,16.0921612548826,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910230,,hlsp_qlp_tess_ffi_s0019-0000000311910230_tess_v01_llc,88.0849762923,32.5554876526,4,58815.59938268,1800,59181.05508,,23.4548876675282,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910272,,hlsp_qlp_tess_ffi_s0019-0000000311910272_tess_v01_llc,88.0677975793,32.5482991793,4,58815.59938333,1800,59181.05508,,27.2457274646541,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910199,,hlsp_qlp_tess_ffi_s0019-0000000311910199_tess_v01_llc,88.069228642,32.5601480818,4,58815.5993831,1800,59181.05508,,29.8078508369147,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910214,,hlsp_qlp_tess_ffi_s0019-0000000311910214_tess_v01_llc,88.0872012528,32.5577147475,4,58815.59938257,1800,59181.05508,,32.8668640816726,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910179,,hlsp_qlp_tess_ffi_s0019-0000000311910179_tess_v01_llc,88.0714163884,32.5633440229,4,58815.59938299,1800,59181.05508,,36.282891851536,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910178,,hlsp_qlp_tess_ffi_s0019-0000000311910178_tess_v01_llc,88.0846291843,32.5636890138,4,58815.59938256,1800,59181.05508,,41.8413003345986,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910319,,hlsp_qlp_tess_ffi_s0019-0000000311910319_tess_v01_llc,88.073068705,32.5403303813,4,58815.59938328,1800,59181.05508,,42.7278534953828,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910320,,hlsp_qlp_tess_ffi_s0019-0000000311910320_tess_v01_llc,88.0710275532,32.5402521438,4,58815.59938335,1800,59181.05508,,44.7109980460644,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910302,,hlsp_qlp_tess_ffi_s0019-0000000311910302_tess_v01_llc,88.0645384837,32.5433992124,4,58815.59938351,1800,59181.05508,,45.9769241391961,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910195,,hlsp_qlp_tess_ffi_s0019-0000000311910195_tess_v01_llc,88.0627375345,32.5609129422,4,58815.5993833,1800,59181.05508,,46.4922357350904,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910173,,hlsp_qlp_tess_ffi_s0019-0000000311910173_tess_v01_llc,88.0675282865,32.5648549399,4,58815.59938309,1800,59181.05508,,46.6148417116047,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910330,,hlsp_qlp_tess_ffi_s0019-0000000311910330_tess_v01_llc,88.0789113343,32.5382692113,4,58815.59938313,1800,59181.05508,,49.5256709845658,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910307,,hlsp_qlp_tess_ffi_s0019-0000000311910307_tess_v01_llc,88.0624332907,32.5427225934,4,58815.59938359,1800,59181.05508,,52.3603344506143,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910165,,hlsp_qlp_tess_ffi_s0019-0000000311910165_tess_v01_llc,88.0886661462,32.5656701229,4,58815.5993824,1800,59181.05508,,54.8752861166814,
,HLSP,QLP,Photometer,TESS,TESS,Optical,723272955,,hlsp_qlp_tess_ffi_s0019-0000000723272955_tess_v01_llc,88.0781179807,32.536675913,4,58815.59938318,1800,59181.64557,,54.9517928356975,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910171,,hlsp_qlp_tess_ffi_s0019-0000000311910171_tess_v01_llc,88.0918132347,32.5651079518,4,58815.59938231,1800,59181.05508,,59.8989900231677,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910144,,hlsp_qlp_tess_ffi_s0019-0000000311910144_tess_v01_llc,88.0810725484,32.570931208,4,58815.59938256,1800,59181.05508,,62.1256071059591,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910342,,hlsp_qlp_tess_ffi_s0019-0000000311910342_tess_v01_llc,88.0837943911,32.5353512802,4,58815.59938302,1800,59181.05508,,63.3804419600134,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910280,,hlsp_qlp_tess_ffi_s0019-0000000311910280_tess_v01_llc,88.0979037184,32.5467125135,4,58815.5993824,1800,59181.05508,,64.9743134815523,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910297,,hlsp_qlp_tess_ffi_s0019-0000000311910297_tess_v01_llc,88.0553044465,32.5449385454,4,58815.59938378,1800,59181.05508,,66.3825821917296,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910162,,hlsp_qlp_tess_ffi_s0019-0000000311910162_tess_v01_llc,88.0931452655,32.5665935495,4,58815.59938225,1800,59181.05508,,66.5218462463638,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910267,,hlsp_qlp_tess_ffi_s0019-0000000311910267_tess_v01_llc,88.0528894973,32.5489719249,4,58815.59938379,1800,59181.05508,,68.9969822725645,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910227,,hlsp_qlp_tess_ffi_s0019-0000000311910227_tess_v01_llc,88.1003176975,32.5558878819,4,58815.59938218,1800,59181.05508,,69.2103540558663,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910291,,hlsp_qlp_tess_ffi_s0019-0000000311910291_tess_v01_llc,88.0992377226,32.5457263273,4,58815.59938237,1800,59181.05508,,70.0064743625616,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910338,,hlsp_qlp_tess_ffi_s0019-0000000311910338_tess_v01_llc,88.0903211304,32.5360294033,4,58815.5993828,1800,59181.05508,,70.1932932492818,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910286,,hlsp_qlp_tess_ffi_s0019-0000000311910286_tess_v01_llc,88.0527088954,32.5459860421,4,58815.59938384,1800,59181.05508,,72.3136947804407,
,HLSP,QLP,Photometer,TESS,TESS,Optical,723273077,,hlsp_qlp_tess_ffi_s0019-0000000723273077_tess_v01_llc,88.051911299,32.5456303518,4,58815.59938388,1800,59181.64557,,75.0206723971932,
,HLSP,QLP,Photometer,TESS,TESS,Optical,723272956,,hlsp_qlp_tess_ffi_s0019-0000000723272956_tess_v01_llc,88.0825374088,32.5308752807,4,58815.59938313,1800,59181.64557,,77.7672902645326,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910334,,hlsp_qlp_tess_ffi_s0019-0000000311910334_tess_v01_llc,88.0567818188,32.537237186,4,58815.59938385,1800,59181.05508,,78.322562390054,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910157,,hlsp_qlp_tess_ffi_s0019-0000000311910157_tess_v01_llc,88.0548861353,32.5671718288,4,58815.59938345,1800,59181.05508,,79.0310784310404,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910265,,hlsp_qlp_tess_ffi_s0019-0000000311910265_tess_v01_llc,88.049358297,32.5490270328,4,58815.5993839,1800,59181.05508,,79.4702211722728,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910372,,hlsp_qlp_tess_ffi_s0019-0000000311910372_tess_v01_llc,88.0690965764,32.5305551317,4,58815.59938356,1800,59181.05508,,79.7880590654445,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910270,,hlsp_qlp_tess_ffi_s0019-0000000311910270_tess_v01_llc,88.047888096,32.5483233114,4,58815.59938396,1800,59181.05508,,84.3311545742359,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910384,,hlsp_qlp_tess_ffi_s0019-0000000311910384_tess_v01_llc,88.0694294607,32.5276369885,4,58815.59938359,1800,59181.05508,,89.7329633582268,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910142,,hlsp_qlp_tess_ffi_s0019-0000000311910142_tess_v01_llc,88.0543214799,32.5712708226,4,58815.59938341,1800,59181.05508,,90.0018878014006,
,HLSP,QLP,Photometer,TESS,TESS,Optical,723273062,,hlsp_qlp_tess_ffi_s0019-0000000723273062_tess_v01_llc,88.0627095482,32.5292260461,4,58815.59938378,1800,59181.64557,,91.1990002353699,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910382,,hlsp_qlp_tess_ffi_s0019-0000000311910382_tess_v01_llc,88.0628524521,32.5280027936,4,58815.5993838,1800,59181.05508,,94.9829915837999,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910381,,hlsp_qlp_tess_ffi_s0019-0000000311910381_tess_v01_llc,88.0904000605,32.5280659837,4,58815.59938292,1800,59181.05508,,95.2400032379558,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910379,,hlsp_qlp_tess_ffi_s0019-0000000311910379_tess_v01_llc,88.092163206,32.5285329425,4,58815.59938286,1800,59181.05508,,96.1460983676363,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910088,,hlsp_qlp_tess_ffi_s0019-0000000311910088_tess_v01_llc,88.0742237107,32.5810101763,4,58815.59938263,1800,59181.05508,,97.157457366363,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910398,,hlsp_qlp_tess_ffi_s0019-0000000311910398_tess_v01_llc,88.0673556106,32.5253540529,4,58815.59938369,1800,59181.05508,,99.2428206299241,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910326,,hlsp_qlp_tess_ffi_s0019-0000000311910326_tess_v01_llc,88.0460174728,32.5387101918,4,58815.59938417,1800,59181.05508,,101.686216581308,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910216,,hlsp_qlp_tess_ffi_s0019-0000000311910216_tess_v01_llc,88.0419340871,32.5574662954,4,58815.59938401,1800,59181.05508,,101.983891738534,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311992786,,hlsp_qlp_tess_ffi_s0019-0000000311992786_tess_v01_llc,88.1113785605,32.5529764237,4,58815.59938187,1800,59181.05508,,102.105631998859,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910121,,hlsp_qlp_tess_ffi_s0019-0000000311910121_tess_v01_llc,88.0523039554,32.5745908895,4,58815.59938342,1800,59181.05508,,102.817498847983,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910409,,hlsp_qlp_tess_ffi_s0019-0000000311910409_tess_v01_llc,88.0730261046,32.5231646127,4,58815.59938355,1800,59181.05508,,103.953673209506,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910346,,hlsp_qlp_tess_ffi_s0019-0000000311910346_tess_v01_llc,88.0476633899,32.5346282604,4,58815.59938418,1800,59181.05508,,105.600269211395,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910075,,hlsp_qlp_tess_ffi_s0019-0000000311910075_tess_v01_llc,88.074086799,32.5834775692,4,58815.5993826,1800,59181.05508,,106.046826683,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910133,,hlsp_qlp_tess_ffi_s0019-0000000311910133_tess_v01_llc,88.0492199615,32.5732098095,4,58815.59938354,1800,59181.05508,,106.115349819852,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910240,,hlsp_qlp_tess_ffi_s0019-0000000311910240_tess_v01_llc,88.0399248458,32.5538526687,4,58815.59938413,1800,59181.05508,,106.846861362894,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311992810,,hlsp_qlp_tess_ffi_s0019-0000000311992810_tess_v01_llc,88.1134354959,32.559050157,4,58815.59938172,1800,59181.05508,,110.357033807951,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910419,,hlsp_qlp_tess_ffi_s0019-0000000311910419_tess_v01_llc,88.0758693682,32.5211459458,4,58815.59938349,1800,59181.05508,,110.681389248353,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910071,,hlsp_qlp_tess_ffi_s0019-0000000311910071_tess_v01_llc,88.0850405459,32.5842825322,4,58815.59938224,1800,59181.05508,,111.666797153317,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910365,,hlsp_qlp_tess_ffi_s0019-0000000311910365_tess_v01_llc,88.0480539327,32.5314030507,4,58815.59938421,1800,59181.05508,,112.041095896664,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910211,,hlsp_qlp_tess_ffi_s0019-0000000311910211_tess_v01_llc,88.038477422,32.5579947014,4,58815.59938411,1800,59181.05508,,112.641287674076,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910066,,hlsp_qlp_tess_ffi_s0019-0000000311910066_tess_v01_llc,88.0723499261,32.5851958798,4,58815.59938262,1800,59181.05508,,112.690510288827,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910112,,hlsp_qlp_tess_ffi_s0019-0000000311910112_tess_v01_llc,88.0491785003,32.5760972058,4,58815.5993835,1800,59181.05508,,113.313267918286,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910299,,hlsp_qlp_tess_ffi_s0019-0000000311910299_tess_v01_llc,88.0380202628,32.5442774934,4,58815.59938434,1800,59181.05508,,116.78273445966,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311992834,,hlsp_qlp_tess_ffi_s0019-0000000311992834_tess_v01_llc,88.1135248432,32.5664139712,4,58815.5993816,1800,59181.05508,,118.540406333098,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311992799,,hlsp_qlp_tess_ffi_s0019-0000000311992799_tess_v01_llc,88.116778977,32.5567480736,4,58815.59938164,1800,59181.05508,,119.168687844841,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910427,,hlsp_qlp_tess_ffi_s0019-0000000311910427_tess_v01_llc,88.0638950232,32.5199648659,4,58815.59938388,1800,59181.05508,,120.838141077367,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311992794,,hlsp_qlp_tess_ffi_s0019-0000000311992794_tess_v01_llc,88.1175327328,32.5548053399,4,58815.59938165,1800,59181.05508,,120.913447681297,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910439,,hlsp_qlp_tess_ffi_s0019-0000000311910439_tess_v01_llc,88.067626362,32.5188740742,4,58815.59938378,1800,59181.05508,,121.717106960024,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910060,,hlsp_qlp_tess_ffi_s0019-0000000311910060_tess_v01_llc,88.0610335585,32.5859944352,4,58815.59938297,1800,59181.05508,,123.686735832658,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910078,,hlsp_qlp_tess_ffi_s0019-0000000311910078_tess_v01_llc,88.0998496594,32.5825032709,4,58815.59938179,1800,59181.05508,,123.80901807742,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910441,,hlsp_qlp_tess_ffi_s0019-0000000311910441_tess_v01_llc,88.0853991618,32.5183028535,4,58815.59938323,1800,59181.05508,,123.82467518929,
,HLSP,QLP,Photometer,TESS,TESS,Optical,311910349,,hlsp_qlp_tess_ffi_s0019-0000000311910349_tess_v01_llc,88.0404310753,32.5339063787,4,58815.59938442,1800,59181.05508,,125.121155250315,
